subject,chain,generation,transmission_error,complexity,communicative_cost,expressivity
1,1,1,3.70945894719,445.655184124,5.33228227331,4
2,1,2,3.04331861333,93.3139598585,4.88961080605,4
3,1,3,0.332557200488,45.24194243,4.89355928689,4
4,1,4,2.9264556948,452.203372014,5.25654132692,4
5,1,5,3.4017130918,456.721706078,5.46967107524,4
6,1,6,3.38028217187,407.711848714,5.32942639936,4
7,1,7,3.14091996915,326.433732672,5.0483493661,4
8,1,8,2.89248034894,406.400815261,5.19226995739,4
9,1,9,3.76992737268,437.492286389,5.34783001763,4
10,1,10,3.65345881805,444.070221623,5.21362869625,4
11,2,1,3.5225894575,382.735169789,5.28160858187,4
12,2,2,3.02877455937,360.229262159,4.94468699004,4
13,2,3,1.94575431635,199.949847812,4.8489835795,4
14,2,4,2.03519672092,270.158175524,4.92692210865,4
15,2,5,1.31018364331,26.4870549278,4.92138166404,3
16,2,6,0.0,26.4870549278,4.92138166404,3
17,2,7,0.178967903015,48.0195500087,4.950752198,3
18,2,8,0.178967903015,26.4870549278,4.92138166404,3
19,2,9,0.0,26.4870549278,4.92138166404,3
20,2,10,0.0,26.4870549278,4.92138166404,3
21,3,1,3.76381803095,482.779668972,5.34677014164,4
22,3,2,2.19333647631,108.191103111,5.79627165417,3
23,3,3,0.847293202597,119.098594704,5.75097028408,3
24,3,4,0.542614488723,5.16992500144,6.02793457253,1
25,3,5,0.0,5.16992500144,6.02793457253,1
26,3,6,0.0,5.16992500144,6.02793457253,1
27,3,7,0.0,5.16992500144,6.02793457253,1
28,3,8,0.0,5.16992500144,6.02793457253,1
29,3,9,0.0,5.16992500144,6.02793457253,1
30,3,10,0.116115075305,38.5865906014,5.95954968432,2
31,4,1,3.66817463903,439.677303203,5.30864031285,4
32,4,2,3.15764572832,352.657753194,5.2815910752,4
33,4,3,2.87006804147,332.729073316,5.37155180003,3
34,4,4,2.90319195244,421.151835389,5.39800617684,3
35,4,5,2.40649279873,173.762000903,5.22653049945,3
36,4,6,2.29361298486,292.738339857,5.25337052471,3
37,4,7,2.35787324366,255.051612584,5.3741451809,3
38,4,8,1.41689128515,84.1911031108,5.58912926483,3
39,4,9,1.11922628777,108.742450894,5.84444014631,3
40,4,10,0.68776944828,72.9334678712,5.83355868846,2
41,5,1,3.84944317027,407.167528198,5.26924685637,4
